Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Status Category,Status Category Changed
[QA-026] Test Generation History Retrieval and Version Tree Navigation,QA-026,,Task,To Do,ATC,AI Teacher Copilot,software,,,,Medium,,,,,,,,,,,,,0,"Role: QA Engineer
Master Task: ATC-404
Sprint: Sprint 4 - Quiz & Versioning
Priority: Medium
Dependencies: is blocked by ATC-403
Deliverable: History API Test Report

Description:
Kiểm thử truy xuất lịch sử và mở xem nội dung các phiên bản cũ.

Acceptance Criteria:
API trả về đúng danh sách bài soạn của workspace; không lẫn lộn dữ liệu.",,,,,,,,,,,,,,,Sprint 4 - Quiz & Versioning,,,Quality Assurance,,To Do,
[DES-014] Design Assessment Rubric Matrix and Criteria Editor in Figma,DES-014,,Task,To Do,ATC,AI Teacher Copilot,software,,,,Medium,,,,,,,,,,,,,0,"Role: Designer
Master Task: ATC-405
Sprint: Sprint 4 - Quiz & Versioning
Priority: Medium
Dependencies: is blocked by ATC-304, ATC-401
Deliverable: Figma Rubric Screens

Description:
Thiết kế bảng ma trận Rubric đánh giá (tiêu chí, trọng số, các mức độ đạt chuẩn).

Acceptance Criteria:
Bản vẽ Figma cho Rubric Matrix Table và thanh chỉnh sửa tiêu chí.",,,,,,,,,,,,,,,Sprint 4 - Quiz & Versioning,,,Design,,To Do,
[FE-018] Implement Assessment Rubric Table and Inline Criteria Editor,FE-018,,Task,To Do,ATC,AI Teacher Copilot,software,,,,Medium,,,,,,,,,,,,,0,"Role: Frontend Engineer
Master Task: ATC-405
Sprint: Sprint 4 - Quiz & Versioning
Priority: Medium
Dependencies: is blocked by ATC-304, ATC-401
Deliverable: RubricTableView.jsx

Description:
Xây dựng RubricTableView cho phép xem và chỉnh sửa các mức điểm tiêu chí đánh giá.

Acceptance Criteria:
Hiển thị bảng Rubric rõ ràng; hỗ trợ sửa trọng số và tiêu chí trên giao diện.",,,,,,,,,,,,,,,Sprint 4 - Quiz & Versioning,,,Frontend,,To Do,
[BE-029] Implement Structured Assessment Rubric Generation Pipeline,BE-029,,Task,To Do,ATC,AI Teacher Copilot,software,,,,Medium,,,,,,,,,,,,,0,"Role: Backend Engineer
Master Task: ATC-405
Sprint: Sprint 4 - Quiz & Versioning
Priority: Medium
Dependencies: is blocked by ATC-304, ATC-401
Deliverable: rubric_generator.py

Description:
Xây dựng pipeline sinh Rubric đánh giá có cấu trúc qua RubricSchema.

Acceptance Criteria:
Sinh Rubric đánh giá phù hợp với mục tiêu bài giảng; lưu vào CSDL với content_type='RUBRIC'.",,,,,,,,,,,,,,,Sprint 4 - Quiz & Versioning,,,Backend,,To Do,
[QA-027] Test Rubric Scoring Matrix and Curriculum Alignment,QA-027,,Task,To Do,ATC,AI Teacher Copilot,software,,,,Medium,,,,,,,,,,,,,0,"Role: QA Engineer
Master Task: ATC-405
Sprint: Sprint 4 - Quiz & Versioning
Priority: Medium
Dependencies: is blocked by ATC-304, ATC-401
Deliverable: Rubric Test Report

Description:
Kiểm thử tính logic của thang điểm Rubric và độ bám sát yêu cầu cần đạt của bài học.

Acceptance Criteria:
Tổng trọng số điểm = 100% hoặc thang điểm 10 chuẩn; tiêu chí rõ ràng.",,,,,,,,,,,,,,,Sprint 4 - Quiz & Versioning,,,Quality Assurance,,To Do,
[DES-015] Design Student Exam Sheet and Teacher Answer Key in Figma,DES-015,,Task,To Do,ATC,AI Teacher Copilot,software,,,,Medium,,,,,,,,,,,,,0,"Role: Designer
Master Task: ATC-406
Sprint: Sprint 4 - Quiz & Versioning
Priority: Medium
Dependencies: is blocked by ATC-307, ATC-401
Deliverable: Figma Quiz Export Layouts

Description:
Thiết kế layout phiếu đề thi cho học sinh và phiếu đáp án / hướng dẫn chấm cho giáo viên.

Acceptance Criteria:
Bản vẽ Figma cho mẫu đề thi học sinh (không đáp án) và phiếu hướng dẫn chấm.",,,,,,,,,,,,,,,Sprint 4 - Quiz & Versioning,,,Design,,To Do,
[FE-019] Implement Student Exam and Teacher Answer Key Export Controls,FE-019,,Task,To Do,ATC,AI Teacher Copilot,software,,,,Medium,,,,,,,,,,,,,0,"Role: Frontend Engineer
Master Task: ATC-406
Sprint: Sprint 4 - Quiz & Versioning
Priority: Medium
Dependencies: is blocked by ATC-307, ATC-401
Deliverable: QuizExportControls.jsx

Description:
Thêm tùy chọn xuất 'Đề thi học sinh' và 'Đáp án & Hướng dẫn chấm' trong Export Modal.

Acceptance Criteria:
Giáo viên tải được 2 file riêng biệt chỉ bằng 1 thao tác chọn lựa.",,,,,,,,,,,,,,,Sprint 4 - Quiz & Versioning,,,Frontend,,To Do,
[BE-030] Implement Student Quiz Sheet Export without Answers,BE-030,,Task,To Do,ATC,AI Teacher Copilot,software,,,,Medium,,,,,,,,,,,,,0,"Role: Backend Engineer
Master Task: ATC-406
Sprint: Sprint 4 - Quiz & Versioning
Priority: Medium
Dependencies: is blocked by ATC-307, ATC-401
Deliverable: QuizStudentDocxService.java

Description:
Mở rộng export engine tạo file Word/PDF đề thi sạch sẽ, ẩn toàn bộ đáp án và giải thích.

Acceptance Criteria:
File xuất ra chỉ có danh sách câu hỏi và các lựa chọn; không để lộ đáp án đúng.",,,,,,,,,,,,,,,Sprint 4 - Quiz & Versioning,,,Backend,,To Do,
[BE-031] Implement Teacher Answer Key and Grading Guide Export,BE-031,,Task,To Do,ATC,AI Teacher Copilot,software,,,,Medium,,,,,,,,,,,,,0,"Role: Backend Engineer
Master Task: ATC-406
Sprint: Sprint 4 - Quiz & Versioning
Priority: Medium
Dependencies: is blocked by ATC-307, ATC-401
Deliverable: QuizTeacherDocxService.java

Description:
Mở rộng export engine tạo file Word/PDF hướng dẫn chấm chi tiết kèm ma trận Bloom.

Acceptance Criteria:
File xuất ra có đáp án, lời giải chi tiết, cấp độ Bloom và trích dẫn nguồn tham khảo.",,,,,,,,,,,,,,,Sprint 4 - Quiz & Versioning,,,Backend,,To Do,
[QA-028] Test Student Quiz Sheet and Teacher Grading Guide Exports,QA-028,,Task,To Do,ATC,AI Teacher Copilot,software,,,,Medium,,,,,,,,,,,,,0,"Role: QA Engineer
Master Task: ATC-406
Sprint: Sprint 4 - Quiz & Versioning
Priority: Medium
Dependencies: is blocked by ATC-307, ATC-401
Deliverable: Quiz Export Test Report

Description:
Kiểm thử đối chiếu file học sinh và file giáo viên để đảm bảo tuyệt đối không lộ đáp án.

Acceptance Criteria:
File học sinh sạch 100%; file giáo viên có lời giải và đáp án chính xác.",,,,,,,,,,,,,,,Sprint 4 - Quiz & Versioning,,,Quality Assurance,,To Do,
[BE-032] Set Up Spring Boot and FastAPI Testcontainers Integration Harness,BE-032,,Task,To Do,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Backend Engineer
Master Task: ATC-501
Sprint: Sprint 5 - Testing & Optimization
Priority: High
Dependencies: is blocked by ATC-307, ATC-404
Deliverable: TestcontainersConfig.java

Description:
Cấu hình môi trường test tích hợp sử dụng Testcontainers (Postgres + MinIO) cho CI.

Acceptance Criteria:
Bộ test harness tự động khởi chạy containers sạch và dọn dẹp sau khi chạy test.",,,,,,,,,,,,,,,Sprint 5 - Testing & Optimization,,,Backend,,To Do,
[QA-029] Implement Automated End-to-End User Journey Test Suite,QA-029,,Task,To Do,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: QA Engineer
Master Task: ATC-501
Sprint: Sprint 5 - Testing & Optimization
Priority: High
Dependencies: is blocked by ATC-307, ATC-404
Deliverable: E2ETestSuite.java

Description:
Viết kịch bản test E2E tự động: Đăng ký -> Upload -> Ingest -> RAG -> Lesson -> Quiz -> Export.

Acceptance Criteria:
Toàn bộ luồng nghiệp vụ cốt lõi chạy thông suốt không có lỗi gián đoạn.",,,,,,,,,,,,,,,Sprint 5 - Testing & Optimization,,,Quality Assurance,,To Do,
[QA-030] Validate Full Vertical Slice from Upload to Word Export,QA-030,,Task,To Do,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: QA Engineer
Master Task: ATC-501
Sprint: Sprint 5 - Testing & Optimization
Priority: High
Dependencies: is blocked by ATC-307, ATC-404
Deliverable: E2E Execution Report

Description:
Chạy và ghi nhận kết quả kiểm thử tự động trên luồng tích hợp hoàn chỉnh.

Acceptance Criteria:
100% kịch bản kiểm thử E2E pass xanh trên môi trường test tích hợp.",,,,,,,,,,,,,,,Sprint 5 - Testing & Optimization,,,Quality Assurance,,To Do,
[BE-033] Implement RAG Retrieval Quality Metrics Logging,BE-033,,Task,To Do,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Backend Engineer
Master Task: ATC-502
Sprint: Sprint 5 - Testing & Optimization
Priority: High
Dependencies: is blocked by ATC-303, ATC-401
Deliverable: evaluation_logger.py

Description:
Xây dựng module ghi nhận metrics đánh giá chất lượng RAG trong FastAPI.

Acceptance Criteria:
Ghi log độ tương đồng Cosine, thời gian truy xuất và số lượng chunk đạt chuẩn.",,,,,,,,,,,,,,,Sprint 5 - Testing & Optimization,,,Backend,,To Do,
[QA-031] Execute RAG Evaluation Benchmark across 20–30 K-12 Test Cases,QA-031,,Task,To Do,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: QA Engineer
Master Task: ATC-502
Sprint: Sprint 5 - Testing & Optimization
Priority: High
Dependencies: is blocked by ATC-303, ATC-401
Deliverable: RAG Benchmark Dataset & Script

Description:
Thu thập và chạy benchmark trên bộ 20-30 tài liệu giáo khoa K-12 (Toán, Văn, KHTN, Sử, Địa).

Acceptance Criteria:
Bộ benchmark bao phủ đủ các khối lớp và định dạng tài liệu thực tế.",,,,,,,,,,,,,,,Sprint 5 - Testing & Optimization,,,Quality Assurance,,To Do,
[QA-032] Measure RAG Groundedness and Citation Precision Metrics,QA-032,,Task,To Do,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: QA Engineer
Master Task: ATC-502
Sprint: Sprint 5 - Testing & Optimization
Priority: High
Dependencies: is blocked by ATC-303, ATC-401
Deliverable: RAG Evaluation Benchmark Report

Description:
Đo lường và lập báo cáo tỷ lệ Groundedness (mục tiêu >= 85%) và Citation Precision (>= 90%).

Acceptance Criteria:
Báo cáo chi tiết các trường hợp đạt chuẩn và các trường hợp cần tinh chỉnh prompt.",,,,,,,,,,,,,,,Sprint 5 - Testing & Optimization,,,Quality Assurance,,To Do,
[BE-034] Optimize pgvector Query Plans and HNSW Index Performance,BE-034,,Task,To Do,ATC,AI Teacher Copilot,software,,,,Medium,,,,,,,,,,,,,0,"Role: Backend Engineer
Master Task: ATC-503
Sprint: Sprint 5 - Testing & Optimization
Priority: Medium
Dependencies: is blocked by ATC-302, ATC-502
Deliverable: V2__optimize_hnsw_index.sql

Description:
Tinh chỉnh tham số HNSW index (m=16, ef_construction=64) và tối ưu HikariCP connection pool.

Acceptance Criteria:
Thời gian truy xuất vector pgvector giảm xuống < 200ms cho mỗi request tìm kiếm.",,,,,,,,,,,,,,,Sprint 5 - Testing & Optimization,,,Backend,,To Do,
[OPS-006] Tune PostgreSQL Memory and pgvector Worker Configuration,OPS-006,,Task,To Do,ATC,AI Teacher Copilot,software,,,,Medium,,,,,,,,,,,,,0,"Role: DevOps Engineer
Master Task: ATC-503
Sprint: Sprint 5 - Testing & Optimization
Priority: Medium
Dependencies: is blocked by ATC-302, ATC-502
Deliverable: postgresql.conf tuning

Description:
Cấu hình shared_buffers, work_mem và max_parallel_workers cho PostgreSQL container.

Acceptance Criteria:
Tối ưu hóa tài nguyên phần cứng, tránh nghẽn I/O khi tính toán vector.",,,,,,,,,,,,,,,Sprint 5 - Testing & Optimization,,,DevOps,,To Do,
[QA-033] Benchmark Vector Retrieval Latency under Concurrent Load,QA-033,,Task,To Do,ATC,AI Teacher Copilot,software,,,,Medium,,,,,,,,,,,,,0,"Role: QA Engineer
Master Task: ATC-503
Sprint: Sprint 5 - Testing & Optimization
Priority: Medium
Dependencies: is blocked by ATC-302, ATC-502
Deliverable: Performance Benchmark Report

Description:
Thực hiện kiểm thử tải (Load Testing) đo độ trễ truy vấn vector dưới tải đồng thời.

Acceptance Criteria:
Độ trễ truy vấn vector trung bình < 200ms; tổng thời gian sinh giáo án < 15s.",,,,,,,,,,,,,,,Sprint 5 - Testing & Optimization,,,Quality Assurance,,To Do,
[FE-020] Implement Error Boundary and Toast Notifications for Upload Failures,FE-020,,Task,To Do,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Frontend Engineer
Master Task: ATC-504
Sprint: Sprint 5 - Testing & Optimization
Priority: High
Dependencies: is blocked by ATC-206
Deliverable: ErrorBoundary.jsx & ToastNotification.jsx

Description:
Cải thiện thông báo lỗi trên UI khi tài liệu bị lỗi phân tích hoặc quá tải.

Acceptance Criteria:
Hiển thị Toast lỗi rõ ràng kèm hướng dẫn khắc phục khi file không thể xử lý.",,,,,,,,,,,,,,,Sprint 5 - Testing & Optimization,,,Frontend,,To Do,
[BE-035] Implement Exception Handlers for Corrupt Files and Empty Text,BE-035,,Task,To Do,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Backend Engineer
Master Task: ATC-504
Sprint: Sprint 5 - Testing & Optimization
Priority: High
Dependencies: is blocked by ATC-206
Deliverable: GlobalExceptionHandler.java & parsers.py

Description:
Bổ sung xử lý ngoại lệ khi file PDF là file scan không có text layer hoặc file DOCX lỗi.

Acceptance Criteria:
Tự động đánh dấu tài liệu trạng thái FAILED kèm thông điệp lỗi chi tiết trong DB.",,,,,,,,,,,,,,,Sprint 5 - Testing & Optimization,,,Backend,,To Do,
[QA-034] Test File Ingestion Edge Cases for Corrupt and Scanned Files,QA-034,,Task,To Do,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: QA Engineer
Master Task: ATC-504
Sprint: Sprint 5 - Testing & Optimization
Priority: High
Dependencies: is blocked by ATC-206
Deliverable: Edge Case Test Report

Description:
Kiểm thử hệ thống với tập file lỗi, file không có text, file mật khẩu bảo vệ.

Acceptance Criteria:
Hệ thống không bị crash (500); trả về thông báo lỗi thân thiện cho giáo viên.",,,,,,,,,,,,,,,Sprint 5 - Testing & Optimization,,,Quality Assurance,,To Do,
[BE-036] Harden Authorization Filters and System Prompt Injection Defense,BE-036,,Task,To Do,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Backend Engineer
Master Task: ATC-505
Sprint: Sprint 5 - Testing & Optimization
Priority: High
Dependencies: is blocked by ATC-204, ATC-303
Deliverable: SecurityHardeningPatch.java

Description:
Rà soát toàn bộ route handlers, thêm kiểm tra quyền sở hữu và lọc ký tự độc hại trong prompt.

Acceptance Criteria:
Không có lỗ hổng IDOR; ngăn chặn hoàn toàn việc bypass ranh giới prompt.",,,,,,,,,,,,,,,Sprint 5 - Testing & Optimization,,,Backend,,To Do,
[QA-035] Conduct Penetration Testing on Cross-Workspace Leakage and Injections,QA-035,,Task,To Do,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: QA Engineer
Master Task: ATC-505
Sprint: Sprint 5 - Testing & Optimization
Priority: High
Dependencies: is blocked by ATC-204, ATC-303
Deliverable: Security Audit & Pentest Report

Description:
Thực hiện kiểm thử xâm nhập (Pen-test) thử nghiệm truy cập trái phép chéo workspace và inject prompt.

Acceptance Criteria:
Báo cáo an ninh xác nhận không có rò rỉ dữ liệu giữa các giáo viên.",,,,,,,,,,,,,,,Sprint 5 - Testing & Optimization,,,Quality Assurance,,To Do,
[OPS-007] Configure Multi-Stage Production Dockerfiles for All Services,OPS-007,,Task,To Do,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: DevOps Engineer
Master Task: ATC-601
Sprint: Sprint 6 - Production & Handover
Priority: High
Dependencies: is blocked by ATC-501
Deliverable: Production Dockerfiles

Description:
Viết Dockerfile multi-stage tối ưu dung lượng image và bảo mật cho 3 services.

Acceptance Criteria:
Image build nhẹ, non-root user và không chứa công cụ build thừa thãi.",,,,,,,,,,,,,,,Sprint 6 - Production & Handover,,,DevOps,,To Do,
[OPS-008] Set Up Production Docker Compose with Isolated Internal Network,OPS-008,,Task,To Do,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: DevOps Engineer
Master Task: ATC-601
Sprint: Sprint 6 - Production & Handover
Priority: High
Dependencies: is blocked by ATC-501
Deliverable: docker-compose.prod.yml

Description:
Cấu hình docker-compose.prod.yml kết nối 5 services qua mạng nội bộ atc-network an toàn.

Acceptance Criteria:
Cổng PostgreSQL, FastAPI không bị lộ ra ngoài Internet; chỉ mở cổng Nginx 80/443.",,,,,,,,,,,,,,,Sprint 6 - Production & Handover,,,DevOps,,To Do,
[QA-036] Test Production Container Startup and Inter-Service Networking,QA-036,,Task,To Do,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: QA Engineer
Master Task: ATC-601
Sprint: Sprint 6 - Production & Handover
Priority: High
Dependencies: is blocked by ATC-501
Deliverable: Production Deployment Test Report

Description:
Kiểm thử khởi động cụm container production và kiểm tra giới hạn CPU/RAM.

Acceptance Criteria:
Toàn bộ container khởi chạy ổn định; giao tiếp nội bộ thông suốt qua service name.",,,,,,,,,,,,,,,Sprint 6 - Production & Handover,,,Quality Assurance,,To Do,
"[OPS-009] Configure Nginx Reverse Proxy, SSL and Security Headers",OPS-009,,Task,To Do,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: DevOps Engineer
Master Task: ATC-602
Sprint: Sprint 6 - Production & Handover
Priority: High
Dependencies: is blocked by ATC-601
Deliverable: nginx.conf & SSL config

Description:
Viết cấu hình nginx.conf định tuyến /api vào Spring Boot, static files cho React và bảo mật headers.

Acceptance Criteria:
Nginx chuyển hướng đúng SPA routes; cấu hình HTTPS SSL và security headers chuẩn A.",,,,,,,,,,,,,,,Sprint 6 - Production & Handover,,,DevOps,,To Do,
"[QA-037] Test Nginx API Routing, CORS Policies and Security Headers",QA-037,,Task,To Do,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: QA Engineer
Master Task: ATC-602
Sprint: Sprint 6 - Production & Handover
Priority: High
Dependencies: is blocked by ATC-601
Deliverable: Nginx Security Audit Report

Description:
Kiểm thử định tuyến API, xử lý CORS preflight và chấm điểm bảo mật HTTP headers.

Acceptance Criteria:
Không có lỗi CORS trên môi trường production; điểm bảo mật headers đạt chuẩn.",,,,,,,,,,,,,,,Sprint 6 - Production & Handover,,,Quality Assurance,,To Do,
[OPS-010] Automate PostgreSQL and MinIO Backups with Scheduled Cron Jobs,OPS-010,,Task,To Do,ATC,AI Teacher Copilot,software,,,,Medium,,,,,,,,,,,,,0,"Role: DevOps Engineer
Master Task: ATC-603
Sprint: Sprint 6 - Production & Handover
Priority: Medium
Dependencies: is blocked by ATC-601
Deliverable: backup_db.sh & cron config

Description:
Viết script backup_db.sh tự động dump database nén .sql.gz và đồng bộ dữ liệu MinIO.

Acceptance Criteria:
Script chạy tự động qua cron job hàng ngày và lưu trữ bản backup an toàn.",,,,,,,,,,,,,,,Sprint 6 - Production & Handover,,,DevOps,,To Do,
[OPS-011] Document Disaster Recovery Runbook and Restoration Procedures,OPS-011,,Task,To Do,ATC,AI Teacher Copilot,software,,,,Medium,,,,,,,,,,,,,0,"Role: DevOps Engineer
Master Task: ATC-603
Sprint: Sprint 6 - Production & Handover
Priority: Medium
Dependencies: is blocked by ATC-601
Deliverable: Disaster_Recovery_Runbook.md

Description:
Viết tài liệu hướng dẫn quy trình khôi phục hệ thống từ bản backup khi gặp sự cố.

Acceptance Criteria:
Tài liệu Runbook chi tiết từng bước khôi phục dữ liệu trên môi trường trắng.",,,,,,,,,,,,,,,Sprint 6 - Production & Handover,,,DevOps,,To Do,
[QA-038] Test Database Backup Integrity and Disaster Recovery Restoration,QA-038,,Task,To Do,ATC,AI Teacher Copilot,software,,,,Medium,,,,,,,,,,,,,0,"Role: QA Engineer
Master Task: ATC-603
Sprint: Sprint 6 - Production & Handover
Priority: Medium
Dependencies: is blocked by ATC-601
Deliverable: Backup Restoration Test Report

Description:
Kiểm thử thực tế khôi phục dữ liệu từ file backup lên máy chủ mới.

Acceptance Criteria:
Dữ liệu phục hồi nguyên vẹn 100% không bị mất mát hay lỗi index vector.",,,,,,,,,,,,,,,Sprint 6 - Production & Handover,,,Quality Assurance,,To Do,
[BE-037] Document OpenAPI Specifications and Backend Architecture,BE-037,,Task,To Do,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Backend Engineer
Master Task: ATC-604
Sprint: Sprint 6 - Production & Handover
Priority: High
Dependencies: is blocked by ATC-501, ATC-502, ATC-503, ATC-504, ATC-505
Deliverable: API_DOCS.md & OpenAPI Spec

Description:
Tổng hợp tài liệu Swagger/OpenAPI đầy đủ cho toàn bộ REST API của Spring Boot.

Acceptance Criteria:
File API_DOCS.md và Swagger UI hiển thị đủ mô tả request/response của 100% endpoints.",,,,,,,,,,,,,,,Sprint 6 - Production & Handover,,,Backend,,To Do,
[FE-021] Document Frontend Architecture and State Management,FE-021,,Task,To Do,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: Frontend Engineer
Master Task: ATC-604
Sprint: Sprint 6 - Production & Handover
Priority: High
Dependencies: is blocked by ATC-501, ATC-502, ATC-503, ATC-504, ATC-505
Deliverable: Frontend Component Docs

Description:
Tổng hợp tài liệu kiến trúc frontend, cấu trúc store Zustand và sơ đồ luồng dữ liệu.

Acceptance Criteria:
Tài liệu FRONTEND_ARCHITECTURE.md được cập nhật đồng bộ với mã nguồn thực tế.",,,,,,,,,,,,,,,Sprint 6 - Production & Handover,,,Frontend,,To Do,
[OPS-012] Document DevOps Deployment Guide and Environment Cheat-Sheet,OPS-012,,Task,To Do,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: DevOps Engineer
Master Task: ATC-604
Sprint: Sprint 6 - Production & Handover
Priority: High
Dependencies: is blocked by ATC-501, ATC-502, ATC-503, ATC-504, ATC-505
Deliverable: Deployment_Guide.md & README.md

Description:
Viết tài liệu hướng dẫn triển khai hệ thống 1-click và bảng tra cứu biến môi trường.

Acceptance Criteria:
File README.md và Deployment Guide hướng dẫn chi tiết các bước setup từ đầu.",,,,,,,,,,,,,,,Sprint 6 - Production & Handover,,,DevOps,,To Do,
[QA-039] Produce Final Quality Assurance Report and Test Summary,QA-039,,Task,To Do,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: QA Engineer
Master Task: ATC-604
Sprint: Sprint 6 - Production & Handover
Priority: High
Dependencies: is blocked by ATC-501, ATC-502, ATC-503, ATC-504, ATC-505
Deliverable: Final QA & SPQM Report

Description:
Tổng hợp kết quả kiểm thử, ma trận độ bao phủ và báo cáo chất lượng RAG toàn dự án.

Acceptance Criteria:
Báo cáo tổng kết chất lượng SPQM hoàn chỉnh sẵn sàng cho hội đồng nghiệm thu.",,,,,,,,,,,,,,,Sprint 6 - Production & Handover,,,Quality Assurance,,To Do,
[QA-040] Execute Final System Acceptance Test Plan for 11 MVP Features,QA-040,,Task,To Do,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: QA Engineer
Master Task: ATC-605
Sprint: Sprint 6 - Production & Handover
Priority: High
Dependencies: is blocked by ATC-601, ATC-604
Deliverable: Final Acceptance Test Matrix

Description:
Kiểm thử nghiệm thu toàn diện 11 tính năng MVP theo đúng tiêu chí Acceptance Criteria.

Acceptance Criteria:
100% tính năng cốt lõi hoạt động trơn tru và đạt tiêu chuẩn nghiệm thu đồ án.",,,,,,,,,,,,,,,Sprint 6 - Production & Handover,,,Quality Assurance,,To Do,
[QA-041] Conduct End-to-End Product Demonstration Walkthrough,QA-041,,Task,To Do,ATC,AI Teacher Copilot,software,,,,High,,,,,,,,,,,,,0,"Role: QA Engineer
Master Task: ATC-605
Sprint: Sprint 6 - Production & Handover
Priority: High
Dependencies: is blocked by ATC-601, ATC-604
Deliverable: Demo Walkthrough Script & Video

Description:
Thực hiện kịch bản demo hoàn chỉnh: Upload tài liệu -> RAG -> Soạn giáo án -> Tạo Quiz -> Xuất file.

Acceptance Criteria:
Kịch bản demo chạy thông suốt, không phát sinh lỗi và làm nổi bật giá trị sản phẩm.",,,,,,,,,,,,,,,Sprint 6 - Production & Handover,,,Quality Assurance,,To Do,
